Time	Open	High	Low	Close	Volume
2025-04-28 00:00:00	1.32897	1.34438	1.32797	1.34346	78752	8
2025-04-29 00:00:00	1.34346	1.34421	1.33801	1.34118	83535	9
2025-04-30 00:00:00	1.34119	1.34141	1.33089	1.33207	97618	9
2025-05-01 00:00:00	1.33206	1.33452	1.32601	1.32855	81684	7
2025-05-02 00:00:00	1.32857	1.33305	1.32596	1.32596	103665	7
2025-05-04 00:00:00	1.32612	1.32764	1.32593	1.32693	4696	57
2025-05-05 00:00:00	1.32693	1.33362	1.32612	1.32903	84306	12
2025-05-06 00:00:00	1.32903	1.34024	1.32599	1.33514	98319	10
2025-05-07 00:00:00	1.33516	1.3377	1.32797	1.32899	111214	11
2025-05-08 00:00:00	1.32903	1.33559	1.32327	1.32389	110121	7
2025-05-09 00:00:00	1.3239	1.33223	1.32117	1.32964	74176	10
2025-05-11 00:00:00	1.32578	1.32949	1.32578	1.32844	6645	95
2025-05-12 00:00:00	1.32845	1.3299	1.31394	1.31774	119777	10
2025-05-13 00:00:00	1.31774	1.33159	1.31729	1.33033	93097	10
2025-05-14 00:00:00	1.33033	1.336	1.3253	1.32631	100668	10
2025-05-15 00:00:00	1.32631	1.33194	1.3259	1.33028	96570	9
2025-05-16 00:00:00	1.33027	1.33323	1.32825	1.32907	41191	8
